,0_freq,1_freq,2_freq,3_freq,4_freq,5_freq,6_freq,7_freq,8_freq,9_freq,area_total,area_delta,e
0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,2.7
1,0,1,0,0,0,0,0,1,0,0,0.0,0.0,2.71
2,0,1,0,0,0,0,0,1,1,0,0.07,0.07,2.718
3,0,1,1,0,0,0,0,1,1,0,0.14,0.07,2.7182
4,0,1,1,0,0,0,0,1,2,0,0.21,0.07,2.71828
5,0,2,1,0,0,0,0,1,2,0,0.28,0.07,2.718281
6,0,2,1,0,0,0,0,1,3,0,0.35,0.07,2.7182818
7,0,2,2,0,0,0,0,1,3,0,0.5,0.15,2.71828182
8,0,2,2,0,0,0,0,1,4,0,0.57,0.07,2.718281828
9,0,2,2,0,1,0,0,1,4,0,0.57,0.0,2.7182818284
10,0,2,2,0,1,1,0,1,4,0,0.64,0.07,2.71828182845
11,0,2,2,0,1,1,0,1,4,1,0.93,0.29,2.718281828459
12,1,2,2,0,1,1,0,1,4,1,1.15,0.22,2.7182818284590
13,1,2,2,0,2,1,0,1,4,1,1.22,0.07,2.71828182845904
14,1,2,2,0,2,2,0,1,4,1,1.37,0.15,2.718281828459045
15,1,2,3,0,2,2,0,1,4,1,1.52,0.15,2.7182818284590452
16,1,2,3,1,2,2,0,1,4,1,1.89,0.37,2.71828182845904523
17,1,2,3,1,2,3,0,1,4,1,2.04,0.15,2.718281828459045235
18,1,2,3,2,2,3,0,1,4,1,2.41,0.37,2.7182818284590452353
19,1,2,3,2,2,3,1,1,4,1,2.7,0.29,2.71828182845904523536
20,2,2,3,2,2,3,1,1,4,1,2.92,0.22,2.718281828459045235360
21,2,2,4,2,2,3,1,1,4,1,3.21,0.29,2.7182818284590452353602
22,2,2,4,2,2,3,1,1,5,1,3.36,0.15,2.71828182845904523536028
23,2,2,4,2,2,3,1,2,5,1,3.8,0.44,2.718281828459045235360287
24,2,2,4,2,3,3,1,2,5,1,4.17,0.37,2.7182818284590452353602874
25,2,2,4,2,3,3,1,3,5,1,4.61,0.44,2.71828182845904523536028747
26,2,3,4,2,3,3,1,3,5,1,5.05,0.44,2.718281828459045235360287471
27,2,3,4,3,3,3,1,3,5,1,5.56,0.51,2.7182818284590452353602874713
28,2,3,4,3,3,4,1,3,5,1,5.85,0.29,2.71828182845904523536028747135
29,2,3,5,3,3,4,1,3,5,1,6.29,0.44,2.718281828459045235360287471352
30,2,3,5,3,3,4,2,3,5,1,6.8,0.51,2.7182818284590452353602874713526
31,2,3,5,3,3,4,3,3,5,1,7.31,0.51,2.71828182845904523536028747135266
32,2,3,6,3,3,4,3,3,5,1,7.75,0.44,2.718281828459045235360287471352662
33,2,3,6,3,4,4,3,3,5,1,8.26,0.51,2.7182818284590452353602874713526624
34,2,3,6,3,4,4,3,3,5,2,8.77,0.51,2.71828182845904523536028747135266249
35,2,3,6,3,4,4,3,4,5,2,9.36,0.59,2.718281828459045235360287471352662497
36,2,3,6,3,4,4,3,5,5,2,9.95,0.59,2.7182818284590452353602874713526624977
37,2,3,6,3,4,5,3,5,5,2,10.46,0.51,2.71828182845904523536028747135266249775
38,2,3,6,3,4,5,3,6,5,2,11.05,0.59,2.718281828459045235360287471352662497757
39,2,3,7,3,4,5,3,6,5,2,11.49,0.44,2.7182818284590452353602874713526624977572
40,2,3,7,3,5,5,3,6,5,2,12.08,0.59,2.71828182845904523536028747135266249775724
41,2,3,7,3,5,5,3,7,5,2,12.67,0.59,2.718281828459045235360287471352662497757247
42,3,3,7,3,5,5,3,7,5,2,13.04,0.37,2.7182818284590452353602874713526624977572470
43,3,3,7,3,5,5,3,7,5,3,13.63,0.59,2.71828182845904523536028747135266249775724709
44,3,3,7,4,5,5,3,7,5,3,14.51,0.88,2.718281828459045235360287471352662497757247093
45,3,3,7,4,5,5,4,7,5,3,15.39,0.88,2.7182818284590452353602874713526624977572470936
46,3,3,7,4,5,5,4,7,5,4,15.98,0.59,2.71828182845904523536028747135266249775724709369
47,3,3,7,4,5,5,4,7,5,5,16.57,0.59,2.718281828459045235360287471352662497757247093699
48,3,3,7,4,5,5,4,7,5,6,17.16,0.59,2.7182818284590452353602874713526624977572470936999
49,3,3,7,4,5,6,4,7,5,6,17.82,0.66,2.71828182845904523536028747135266249775724709369995
50,3,3,7,4,5,6,4,7,5,7,18.41,0.59,2.718281828459045235360287471352662497757247093699959
51,3,3,7,4,5,7,4,7,5,7,19.07,0.66,2.7182818284590452353602874713526624977572470936999595
52,3,3,7,4,5,7,4,8,5,7,19.73,0.66,2.71828182845904523536028747135266249775724709369995957
53,3,3,7,4,6,7,4,8,5,7,20.54,0.81,2.718281828459045235360287471352662497757247093699959574
54,3,3,7,4,6,7,4,8,5,8,21.13,0.59,2.7182818284590452353602874713526624977572470936999595749
55,3,3,7,4,6,7,5,8,5,8,22.23,1.1,2.71828182845904523536028747135266249775724709369995957496
56,3,3,7,4,6,7,6,8,5,8,23.33,1.1,2.718281828459045235360287471352662497757247093699959574966
57,3,3,7,4,6,7,6,8,5,9,23.92,0.59,2.7182818284590452353602874713526624977572470936999595749669
58,3,3,7,4,6,7,7,8,5,9,25.02,1.1,2.71828182845904523536028747135266249775724709369995957496696
59,3,3,7,4,6,7,7,9,5,9,25.9,0.88,2.718281828459045235360287471352662497757247093699959574966967
60,3,3,7,4,6,7,8,9,5,9,27.08,1.18,2.7182818284590452353602874713526624977572470936999595749669676
61,3,3,8,4,6,7,8,9,5,9,27.59,0.51,2.71828182845904523536028747135266249775724709369995957496696762
62,3,3,8,4,6,7,8,10,5,9,28.55,0.96,2.718281828459045235360287471352662497757247093699959574966967627
63,3,3,8,4,6,7,8,11,5,9,29.51,0.96,2.7182818284590452353602874713526624977572470936999595749669676277
64,3,3,9,4,6,7,8,11,5,9,30.02,0.51,2.71828182845904523536028747135266249775724709369995957496696762772
65,3,3,9,4,7,7,8,11,5,9,30.83,0.81,2.718281828459045235360287471352662497757247093699959574966967627724
66,4,3,9,4,7,7,8,11,5,9,31.71,0.88,2.7182818284590452353602874713526624977572470936999595749669676277240
67,4,3,9,4,7,7,8,12,5,9,32.67,0.96,2.71828182845904523536028747135266249775724709369995957496696762772407
68,4,3,9,4,7,7,9,12,5,9,34.07,1.4,2.718281828459045235360287471352662497757247093699959574966967627724076
69,4,3,9,4,7,7,10,12,5,9,35.47,1.4,2.7182818284590452353602874713526624977572470936999595749669676277240766
70,4,3,9,5,7,7,10,12,5,9,36.65,1.18,2.71828182845904523536028747135266249775724709369995957496696762772407663
71,5,3,9,5,7,7,10,12,5,9,37.53,0.88,2.718281828459045235360287471352662497757247093699959574966967627724076630
72,5,3,9,6,7,7,10,12,5,9,38.71,1.18,2.7182818284590452353602874713526624977572470936999595749669676277240766303
73,5,3,9,6,7,8,10,12,5,9,39.96,1.25,2.71828182845904523536028747135266249775724709369995957496696762772407663035
74,5,3,9,7,7,8,10,12,5,9,41.14,1.18,2.718281828459045235360287471352662497757247093699959574966967627724076630353
75,5,3,9,7,7,9,10,12,5,9,42.39,1.25,2.7182818284590452353602874713526624977572470936999595749669676277240766303535
76,5,3,9,7,8,9,10,12,5,9,43.57,1.18,2.71828182845904523536028747135266249775724709369995957496696762772407663035354
77,5,3,9,7,8,9,10,13,5,9,44.67,1.1,2.718281828459045235360287471352662497757247093699959574966967627724076630353547
78,5,3,9,7,8,10,10,13,5,9,45.99,1.32,2.7182818284590452353602874713526624977572470936999595749669676277240766303535475
79,5,3,9,7,8,10,10,13,5,10,46.72,0.73,2.71828182845904523536028747135266249775724709369995957496696762772407663035354759
80,5,3,9,7,9,10,10,13,5,10,47.97,1.25,2.718281828459045235360287471352662497757247093699959574966967627724076630353547594
81,5,3,9,7,9,11,10,13,5,10,49.37,1.4,2.7182818284590452353602874713526624977572470936999595749669676277240766303535475945
82,5,3,9,7,9,11,10,14,5,10,50.47,1.1,2.71828182845904523536028747135266249775724709369995957496696762772407663035354759457
83,5,4,9,7,9,11,10,14,5,10,51.5,1.03,2.718281828459045235360287471352662497757247093699959574966967627724076630353547594571
84,5,4,9,8,9,11,10,14,5,10,52.82,1.32,2.7182818284590452353602874713526624977572470936999595749669676277240766303535475945713
85,5,4,9,8,9,11,10,14,6,10,54.58,1.76,2.71828182845904523536028747135266249775724709369995957496696762772407663035354759457138
86,5,4,10,8,9,11,10,14,6,10,55.46,0.88,2.718281828459045235360287471352662497757247093699959574966967627724076630353547594571382
87,5,5,10,8,9,11,10,14,6,10,56.56,1.1,2.7182818284590452353602874713526624977572470936999595749669676277240766303535475945713821
