,0_freq,1_freq,2_freq,3_freq,4_freq,5_freq,6_freq,7_freq,8_freq,9_freq,area_total,area_delta,pi
0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,3.1
1,0,1,0,0,1,0,0,0,0,0,0.0,0.0,3.14
2,0,2,0,0,1,0,0,0,0,0,0.0,0.0,3.141
3,0,2,0,0,1,1,0,0,0,0,0.07,0.07,3.1415
4,0,2,0,0,1,1,0,0,0,1,0.07,0.0,3.14159
5,0,2,1,0,1,1,0,0,0,1,0.22,0.15,3.141592
6,0,2,1,0,1,1,1,0,0,1,0.29,0.07,3.1415926
7,0,2,1,0,1,2,1,0,0,1,0.44,0.15,3.14159265
8,0,2,1,1,1,2,1,0,0,1,0.59,0.15,3.141592653
9,0,2,1,1,1,3,1,0,0,1,0.74,0.15,3.1415926535
10,0,2,1,1,1,3,1,0,1,1,0.81,0.07,3.14159265358
11,0,2,1,1,1,3,1,0,1,2,0.88,0.07,3.141592653589
12,0,2,1,1,1,3,1,1,1,2,1.03,0.15,3.1415926535897
13,0,2,1,1,1,3,1,1,1,3,1.1,0.07,3.14159265358979
14,0,2,1,2,1,3,1,1,1,3,1.25,0.15,3.141592653589793
15,0,2,2,2,1,3,1,1,1,3,1.54,0.29,3.1415926535897932
16,0,2,2,3,1,3,1,1,1,3,1.76,0.22,3.14159265358979323
17,0,2,2,3,1,3,1,1,2,3,2.05,0.29,3.141592653589793238
18,0,2,2,3,2,3,1,1,2,3,2.49,0.44,3.1415926535897932384
19,0,2,2,3,2,3,2,1,2,3,2.78,0.29,3.14159265358979323846
20,0,2,3,3,2,3,2,1,2,3,3.15,0.37,3.141592653589793238462
21,0,2,3,3,2,3,3,1,2,3,3.44,0.29,3.1415926535897932384626
22,0,2,3,3,3,3,3,1,2,3,3.88,0.44,3.14159265358979323846264
23,0,2,3,4,3,3,3,1,2,3,4.32,0.44,3.141592653589793238462643
24,0,2,3,5,3,3,3,1,2,3,4.76,0.44,3.1415926535897932384626433
25,0,2,3,5,3,3,3,1,3,3,5.05,0.29,3.14159265358979323846264338
26,0,2,3,6,3,3,3,1,3,3,5.49,0.44,3.141592653589793238462643383
27,0,2,4,6,3,3,3,1,3,3,6.08,0.59,3.1415926535897932384626433832
28,0,2,4,6,3,3,3,2,3,3,6.52,0.44,3.14159265358979323846264338327
29,0,2,4,6,3,3,3,2,3,4,6.74,0.22,3.141592653589793238462643383279
30,0,2,4,6,3,4,3,2,3,4,7.18,0.44,3.1415926535897932384626433832795
31,1,2,4,6,3,4,3,2,3,4,7.62,0.44,3.14159265358979323846264338327950
32,1,2,5,6,3,4,3,2,3,4,8.21,0.59,3.141592653589793238462643383279502
33,1,2,5,6,3,4,3,2,4,4,8.65,0.44,3.1415926535897932384626433832795028
34,1,2,5,6,3,4,3,2,5,4,9.09,0.44,3.14159265358979323846264338327950288
35,1,2,5,6,4,4,3,2,5,4,9.82,0.73,3.141592653589793238462643383279502884
36,1,3,5,6,4,4,3,2,5,4,10.26,0.44,3.1415926535897932384626433832795028841
37,1,3,5,6,4,4,3,2,5,5,10.7,0.44,3.14159265358979323846264338327950288419
38,1,3,5,6,4,4,3,3,5,5,11.29,0.59,3.141592653589793238462643383279502884197
39,1,4,5,6,4,4,3,3,5,5,11.73,0.44,3.1415926535897932384626433832795028841971
40,1,4,5,6,4,4,4,3,5,5,12.24,0.51,3.14159265358979323846264338327950288419716
41,1,4,5,6,4,4,4,3,5,6,12.68,0.44,3.141592653589793238462643383279502884197169
42,1,4,5,7,4,4,4,3,5,6,13.34,0.66,3.1415926535897932384626433832795028841971693
43,1,4,5,7,4,4,4,3,5,7,13.78,0.44,3.14159265358979323846264338327950288419716939
44,1,4,5,7,4,4,4,3,5,8,14.22,0.44,3.141592653589793238462643383279502884197169399
45,1,4,5,8,4,4,4,3,5,8,14.88,0.66,3.1415926535897932384626433832795028841971693993
46,1,4,5,8,4,4,4,4,5,8,15.54,0.66,3.14159265358979323846264338327950288419716939937
47,1,4,5,8,4,5,4,4,5,8,16.13,0.59,3.141592653589793238462643383279502884197169399375
48,1,5,5,8,4,5,4,4,5,8,16.57,0.44,3.1415926535897932384626433832795028841971693993751
49,2,5,5,8,4,5,4,4,5,8,17.53,0.96,3.14159265358979323846264338327950288419716939937510
50,2,5,5,8,4,6,4,4,5,8,18.12,0.59,3.141592653589793238462643383279502884197169399375105
51,2,5,5,8,4,6,4,4,6,8,19.0,0.88,3.1415926535897932384626433832795028841971693993751058
52,2,5,6,8,4,6,4,4,6,8,19.96,0.96,3.14159265358979323846264338327950288419716939937510582
53,3,5,6,8,4,6,4,4,6,8,20.92,0.96,3.141592653589793238462643383279502884197169399375105820
54,3,5,6,8,4,6,4,4,6,9,21.58,0.66,3.1415926535897932384626433832795028841971693993751058209
55,3,5,6,8,4,6,4,5,6,9,22.31,0.73,3.14159265358979323846264338327950288419716939937510582097
56,3,5,6,8,5,6,4,5,6,9,23.34,1.03,3.141592653589793238462643383279502884197169399375105820974
57,3,5,6,8,5,6,4,5,6,10,24.0,0.66,3.1415926535897932384626433832795028841971693993751058209749
58,3,5,6,8,6,6,4,5,6,10,25.03,1.03,3.14159265358979323846264338327950288419716939937510582097494
59,3,5,6,8,7,6,4,5,6,10,26.06,1.03,3.141592653589793238462643383279502884197169399375105820974944
60,3,5,6,8,7,7,4,5,6,10,26.87,0.81,3.1415926535897932384626433832795028841971693993751058209749445
61,3,5,6,8,7,7,4,5,6,11,27.53,0.66,3.14159265358979323846264338327950288419716939937510582097494459
62,3,5,7,8,7,7,4,5,6,11,28.49,0.96,3.141592653589793238462643383279502884197169399375105820974944592
63,3,5,7,9,7,7,4,5,6,11,29.52,1.03,3.1415926535897932384626433832795028841971693993751058209749445923
64,4,5,7,9,7,7,4,5,6,11,30.7,1.18,3.14159265358979323846264338327950288419716939937510582097494459230
65,4,5,7,9,7,7,4,6,6,11,31.43,0.73,3.141592653589793238462643383279502884197169399375105820974944592307
66,4,5,7,9,7,7,4,6,7,11,32.68,1.25,3.1415926535897932384626433832795028841971693993751058209749445923078
67,4,6,7,9,7,7,4,6,7,11,33.49,0.81,3.14159265358979323846264338327950288419716939937510582097494459230781
68,4,6,7,9,7,7,5,6,7,11,34.45,0.96,3.141592653589793238462643383279502884197169399375105820974944592307816
69,4,6,7,9,8,7,5,6,7,11,35.63,1.18,3.1415926535897932384626433832795028841971693993751058209749445923078164
70,5,6,7,9,8,7,5,6,7,11,36.88,1.25,3.14159265358979323846264338327950288419716939937510582097494459230781640
71,5,6,7,9,8,7,6,6,7,11,37.84,0.96,3.141592653589793238462643383279502884197169399375105820974944592307816406
72,5,6,8,9,8,7,6,6,7,11,38.94,1.1,3.1415926535897932384626433832795028841971693993751058209749445923078164062
73,5,6,8,9,8,7,6,6,8,11,40.19,1.25,3.14159265358979323846264338327950288419716939937510582097494459230781640628
74,5,6,8,9,8,7,7,6,8,11,41.15,0.96,3.141592653589793238462643383279502884197169399375105820974944592307816406286
75,5,6,9,9,8,7,7,6,8,11,42.25,1.1,3.1415926535897932384626433832795028841971693993751058209749445923078164062862
76,6,6,9,9,8,7,7,6,8,11,43.5,1.25,3.14159265358979323846264338327950288419716939937510582097494459230781640628620
77,6,6,9,9,8,7,7,6,9,11,44.75,1.25,3.141592653589793238462643383279502884197169399375105820974944592307816406286208
78,6,6,9,9,8,7,7,6,9,12,45.85,1.1,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089
79,6,6,9,9,8,7,7,6,9,13,46.95,1.1,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899
80,6,6,9,9,8,7,7,6,10,13,48.35,1.4,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998
81,6,6,9,9,8,7,8,6,10,13,49.31,0.96,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986
82,6,6,10,9,8,7,8,6,10,13,50.41,1.1,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862
83,6,6,10,9,8,7,8,6,11,13,51.81,1.4,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628
84,7,6,10,9,8,7,8,6,11,13,53.21,1.4,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280
85,7,6,10,10,8,7,8,6,11,13,54.53,1.32,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803
86,7,6,10,10,9,7,8,6,11,13,55.78,1.25,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034
87,7,6,10,10,9,7,8,6,12,13,57.18,1.4,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348
88,7,6,11,10,9,7,8,6,12,13,58.36,1.18,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482
89,7,6,11,10,9,8,8,6,12,13,59.61,1.25,3.141592653589793238462643383279502884197169399375105820974944592307816406286208998628034825
90,7,6,11,11,9,8,8,6,12,13,61.08,1.47,3.1415926535897932384626433832795028841971693993751058209749445923078164062862089986280348253
